symbol,data_days,avg_volume_usd,sharpe_gross,sharpe_net,return_gross,return_net,win_gross,win_net,dd_gross,dd_net,n_trades,turnover_pct,total_cost
TUT,331,6449496.926104405,0.758737781509913,0.6765125852554302,1.08673505943938,0.9687350594393809,50.15105740181269,49.848942598187314,-1.2787444956826561,-1.3483444956826542,148,44.71299093655589,0.11800000000000001
SCR,487,5777619.218561326,0.7522315102863667,0.6422996310316865,1.1682104199652834,0.9974104199652851,50.308008213552355,50.308008213552355,-0.7962593067488382,-0.8282593067488383,214,43.94250513347023,0.1708
FUN,327,6190017.552381404,0.7203998161339578,0.6377407431422554,0.7910073132850366,0.7002073132850364,51.98776758409785,51.681957186544345,-1.4414992192065368,-1.457372874408672,114,34.862385321100916,0.09079999999999999
DEGO,435,3438352.3200138304,0.7486137629677921,0.6370153484028905,1.1192732947965336,0.9524732947965356,51.95402298850574,51.724137931034484,-0.8001983901038311,-0.8329983901038314,209,48.04597701149425,0.1668
ICP,1243,21865829.731287822,0.7531549187561217,0.62723056836413,2.5167038165279623,2.0963038165279837,52.53419147224457,52.13193885760258,-1.3084429148449668,-1.4436429148449603,526,42.31697506033789,0.4204
MANTA,765,17270011.03929018,0.739150706065719,0.6258127382251335,1.7709508079021985,1.499350807902203,51.76470588235295,51.633986928104584,-1.7145309916021987,-1.7481309916021974,340,44.44444444444444,0.27160000000000006
AAVE,1878,37237467.52490014,0.7388316343819885,0.6206286971989325,4.12077264966115,3.4619726496611483,50.159744408945684,49.89350372736954,-1.8236457551325882,-1.8956457551325872,824,43.87646432374867,0.6588
ZK,614,15093729.604211664,0.7143795337788743,0.6160052747171196,1.5503689163221968,1.3371689163221976,52.11726384364821,51.62866449511401,-1.0989281291128554,-1.1637281291128558,267,43.48534201954398,0.2132
MOVR,788,5172007.59098786,0.7441918473387205,0.6143356155185473,1.6713873254254836,1.3797873254254884,52.66497461928934,52.28426395939086,-2.4407524993182332,-2.509552499318231,365,46.31979695431472,0.2916
RDNT,1053,6646345.652666317,0.727386995132592,0.6141752170794835,2.172099957036951,1.8340999570369512,51.37701804368471,51.092117758784426,-1.3057429560342202,-1.3561429560342197,423,40.17094017094017,0.338
VANRY,710,6310338.553302766,0.7267504861594181,0.6073745127724998,1.6683585789916662,1.3943585789916662,51.54929577464789,51.12676056338028,-1.9561139115250346,-2.0001139115250353,343,48.30985915492958,0.274
HIVE,425,4688756.908799089,0.7564227416423503,0.5980839122888507,0.6935517304615925,0.5483517304615906,50.588235294117645,50.117647058823536,-0.7012007413826176,-0.7180007413826176,182,42.8235294117647,0.14520000000000002
ILV,834,4153528.730598337,0.715725276236841,0.5944143257390859,1.6956398885574626,1.408839888557462,51.438848920863315,51.3189448441247,-1.7778329481738204,-1.855875862466914,359,43.04556354916067,0.28680000000000005
IMX,1471,8647092.989773987,0.7011232628831393,0.5842160339457138,3.172826398085287,2.6436263980852925,51.665533650577835,51.46159075458871,-1.6096469220137706,-1.6352469220137706,662,45.00339904826649,0.5292
TAO,681,41861411.19286006,0.699373394229188,0.5799513321078025,1.402456235038639,1.1628562350386382,53.15712187958884,53.01027900146843,-1.0094014479344247,-1.0422014479344248,300,44.052863436123346,0.2396
FET,1131,41332373.36363627,0.6788681131172266,0.5751846228179828,2.533576429294805,2.1467764292948064,52.07780725022104,51.812555260831125,-1.6548328396580505,-1.750032839658052,484,42.79398762157383,0.38680000000000003
OGN,1787,9119230.011775954,0.6703335048270135,0.5713588398596775,4.067042631435004,3.466642631435029,51.4829322887521,51.42697257974258,-1.3839627514620059,-1.4551627514620016,751,42.02574146614438,0.6004
